"Fishing Day","Fish","Fishing Gear","Site","Species","Weight (kg)","Length (cm)","Scale taken (0=N, 1=Y)","Floy Tag . (0=N)","Recap Tag . (0=N)","Preserved for testing (0=N, 1=Y)","Mortality (0=N, 1=Y)","Genetics Testing . (0=N)","Notes"
3.00,197.00,2.00,"2",5.00,0.01,4.70,"",0.00,0.00,0.00,0.00,0.00,""
3.00,198.00,2.00,"2",4.00,0.05,12.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,199.00,2.00,"2",4.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,200.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,201.00,2.00,"2",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,202.00,2.00,"2",5.00,0.01,5.30,"",0.00,0.00,0.00,0.00,0.00,""
3.00,203.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,204.00,2.00,"2",3.00,0.04,11.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,205.00,2.00,"2",5.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,206.00,2.00,"2",5.00,0.01,0.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,207.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,208.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,209.00,2.00,"2",4.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,210.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,211.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,212.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,213.00,2.00,"2",4.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,214.00,2.00,"2",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,215.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,216.00,2.00,"2",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,217.00,2.00,"2",5.00,0.01,2.80,"",0.00,0.00,0.00,0.00,0.00,""
3.00,218.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,219.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,220.00,2.00,"2",5.00,0.01,3.90,"",0.00,0.00,0.00,0.00,0.00,""
3.00,221.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,222.00,2.00,"2",9.00,0.02,11.30,"",0.00,0.00,0.00,0.00,0.00,""
3.00,223.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,224.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,225.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
